category_id,x,y,z
26,-3.404308,-5.070149,-0.51787114
24,11.472395,-8.581572,4.69055
22,-9.008308,-4.6508265,4.3519096
10,-1.4860694,0.4416715,7.304068
10,8.641717,12.106922,-2.6937892
24,9.061063,7.415473,5.1899085
10,-12.943942,9.330131,2.8458645
24,-14.673308,0.01838406,3.9220443
1,-7.2002177,2.8192363,3.819784
26,-13.058061,-0.64078724,-1.2764342
22,8.532583,2.726869,4.806092
24,-7.2502613,2.7520876,4.0068974
24,10.565524,0.32035583,-9.648793
24,-4.9537964,-5.269531,11.430719
25,13.70225,-3.579852,3.1741242
24,-5.752598,0.042352155,11.566484
28,-0.8159101,16.491106,0.4485231
24,-7.5075955,9.166723,10.056855
26,-10.012234,-2.5189342,-4.279103
10,-2.2507262,-7.1915503,-8.424611
24,-8.180076,-0.5441928,-10.462046
1,14.24078,3.7011359,-6.110891
28,15.427265,2.794644,-5.80842
28,3.6195545,9.248312,-12.018044
10,-12.865364,-3.4010623,-3.7693818
28,10.67835,-1.247994,0.62298733
1,11.392346,-9.665041,1.7302175
17,11.325518,-8.549179,4.459379
26,-2.710757,-8.414304,-6.303416
1,-12.995121,-3.00608,2.3885255
22,11.493928,7.4513407,-6.961453
24,11.485433,-3.0221932,5.871636
24,6.891142,2.9803894,2.020956
28,9.683816,8.072776,4.86754
27,2.0597334,15.479558,-8.890316
27,-10.206071,-3.4879663,11.0104
27,-10.235257,-0.14321947,2.39386
10,-7.3193173,-1.5560429,-2.3349736
24,13.297982,6.006898,-4.9371886
27,3.7213054,7.9334464,-12.944501
10,0.899465,-1.0589825,5.3839717
24,5.4513917,-11.245606,-3.5517926
24,3.1251435,-6.9060082,-8.536892
28,2.9030802,-3.3842344,11.39418
27,-8.854643,-10.881934,1.4709843
28,8.034525,-5.7169213,-8.346636
24,7.3343744,11.224207,4.858634
24,-11.471938,1.597908,-8.868065
26,6.5401983,-7.921262,-2.4938502
10,4.232405,4.4895782,-2.3630238
26,0.79940915,1.51532,10.880236
10,-4.4289804,0.5284028,-4.615963
10,-1.0736883,16.30801,-0.5875398
24,4.071152,-13.148543,-2.227254
24,15.406187,1.6955725,0.09705177
10,0.36847338,5.2682314,6.0500607
10,-5.781477,3.8140607,8.384343
28,3.9047995,-6.227039,8.451052
22,-7.281986,2.7513657,4.0392494
24,13.971727,3.0610077,-1.7476668
10,-3.472714,10.733477,9.766791
26,5.2542286,11.853425,5.7761836
10,-0.0817467,-4.70641,3.4090226
10,0.36578596,6.238513,-3.8586245
26,0.42428204,-0.81530213,5.4124064
24,-4.931252,-5.3449116,-9.564984
10,-11.880316,-5.9576597,-1.3726088
24,-6.65704,4.1377797,9.009891
10,-10.543,10.710706,1.9447535
1,0.33318895,3.0112028,12.582075
26,8.739238,8.728154,8.568184
10,-7.869131,-7.340354,7.1423717
10,-4.461509,9.827533,9.901539
10,-7.294343,0.23512438,-11.926129
28,10.139556,-2.4753187,-10.68663
24,13.157603,6.287348,-4.598908
24,-5.5041013,3.7627294,8.262304
1,-4.5490746,3.6834743,1.5749148
10,8.798548,11.888559,-3.4246283
26,8.155457,-8.373144,-4.75578
24,-1.3948178,9.202942,8.244811
10,1.6317114,0.07538422,-16.446001
27,-8.20514,-6.5857944,-5.6128497
24,-9.039696,-0.75051695,-8.886688
10,1.362281,-0.10226635,-16.312075
25,7.7456813,12.805048,-3.050892
28,1.3397181,-13.745591,1.4408098
26,-8.418076,-0.89519954,5.2051945
